id,weight,value,ratio
1,63,299.98,4.761587
2,84,374.75,4.461310
3,95,365.34,3.845684
4,24,305.23,12.717917
5,65,427.60,6.578462
6,72,332.31,4.615417
7,2,226.28,113.140000
8,83,282.78,3.406988
9,72,376.32,5.226667
10,24,351.23,14.634583
11,78,117.71,1.509103
12,6,261.76,43.626667
13,89,339.38,3.813258
14,27,350.49,12.981111
15,30,295.89,9.863000
16,10,278.08,27.808000
17,60,192.29,3.204833
18,1,420.61,420.610000
19,92,349.37,3.797500
20,2,337.66,168.830000
21,37,277.50,7.500000
22,32,348.80,10.900000
23,21,167.75,7.988095
24,40,289.64,7.241000
25,61,263.88,4.325902
26,56,168.06,3.001071
27,100,296.45,2.964500
28,71,396.02,5.577746
29,20,340.98,17.049000
30,78,419.60,5.379487
31,20,365.97,18.298500
32,47,303.77,6.463191
33,25,160.47,6.418800
34,89,162.43,1.825056
35,41,183.88,4.484878
36,83,351.78,4.238313
37,24,112.33,4.680417
38,32,266.78,8.336875
39,39,212.13,5.439231
40,66,297.16,4.502424
41,11,348.15,31.650000
42,54,194.95,3.610185
43,24,119.47,4.977917
44,75,376.50,5.020000
45,21,173.15,8.245238
46,90,393.61,4.373444
47,33,323.78,9.811515
48,46,114.02,2.478696
49,62,100.61,1.622742
50,47,139.47,2.967447
51,57,298.71,5.240526
52,81,120.14,1.483210
53,82,342.74,4.179756
54,46,341.39,7.421522
55,49,197.88,4.038367
56,11,326.24,29.658182
57,17,325.52,19.148235
58,51,157.13,3.080980
59,77,226.53,2.941948
60,60,226.61,3.776833
61,84,210.68,2.508095
62,51,205.07,4.020980
63,29,381.58,13.157931
64,62,144.41,2.329194
65,55,164.78,2.996000
66,13,245.93,18.917692
67,81,232.82,2.874321
68,94,244.75,2.603723
69,6,324.63,54.105000
70,12,182.61,15.217500
71,70,383.33,5.476143
72,37,244.13,6.598108
73,84,148.41,1.766786
74,86,117.72,1.368837
75,51,366.51,7.186471
76,48,143.88,2.997500
77,82,101.35,1.235976
78,53,124.46,2.348302
79,89,188.39,2.116742
80,73,349.27,4.784521
81,1,105.69,105.690000
82,89,386.17,4.338989
83,51,272.69,5.346863
84,71,190.97,2.689718
85,76,325.30,4.280263
86,43,393.72,9.156279
87,51,135.93,2.665294
88,65,419.89,6.459846
89,63,352.89,5.601429
90,33,150.05,4.546970
91,94,380.45,4.047340
92,84,172.26,2.050714
93,98,404.27,4.125204
94,59,104.83,1.776780
95,28,140.79,5.028214
96,5,201.63,40.326000
97,39,259.76,6.660513
98,88,147.17,1.672386
99,66,141.60,2.145455
100,84,253.59,3.018929
101,80,212.65,2.658125
102,19,277.52,14.606316
103,34,225.98,6.646471
104,100,413.59,4.135900
105,50,420.32,8.406400
106,70,337.73,4.824714
107,23,201.55,8.763043
108,99,202.04,2.040808
109,93,296.15,3.184409
110,2,109.46,54.730000
111,18,399.80,22.211111
112,7,331.66,47.380000
113,53,236.33,4.459057
114,85,109.16,1.284235
115,86,310.35,3.608721
116,24,246.13,10.255417
117,50,110.62,2.212400
118,23,130.12,5.657391
119,25,205.26,8.210400
120,63,287.08,4.556825
121,17,415.75,24.455882
122,78,119.26,1.528974
123,41,182.86,4.460000
124,11,297.61,27.055455
125,70,192.79,2.754143
126,51,111.86,2.193333
127,28,235.60,8.414286
128,46,232.87,5.062391
129,8,228.46,28.557500
130,66,207.27,3.140455
131,32,358.87,11.214688
132,69,156.21,2.263913
133,99,399.12,4.031515
134,77,257.80,3.348052
135,23,373.03,16.218696
136,37,276.27,7.466757
137,53,332.52,6.273962
138,5,254.05,50.810000
139,20,114.20,5.710000
140,90,369.80,4.108889
141,49,110.54,2.255918
142,75,423.48,5.646400
143,57,321.22,5.635439
144,80,228.23,2.852875
145,75,357.49,4.766533
146,81,386.85,4.775926
147,87,286.89,3.297586
148,81,145.47,1.795926
149,51,403.34,7.908627
150,3,321.77,107.256667
151,89,137.71,1.547303
152,16,135.82,8.488750
153,17,420.00,24.705882
154,7,201.09,28.727143
155,57,205.26,3.601053
156,26,175.79,6.761154
157,58,321.82,5.548621
158,53,382.96,7.225660
159,93,111.13,1.194946
160,79,159.42,2.017975
161,42,345.44,8.224762
162,19,275.83,14.517368
163,63,186.38,2.958413
164,45,222.05,4.934444
165,72,359.86,4.998056
166,62,321.15,5.179839
167,78,310.57,3.981667
168,54,122.11,2.261296
169,22,200.51,9.114091
170,39,412.59,10.579231
171,43,102.53,2.384419
172,28,302.22,10.793571
173,38,371.99,9.789211
174,28,322.21,11.507500
175,25,135.03,5.401200
176,41,369.87,9.021220
177,5,170.30,34.060000
178,36,167.73,4.659167
179,65,241.37,3.713385
180,29,240.38,8.288966
181,8,105.87,13.233750
182,82,265.33,3.235732
183,74,156.65,2.116892
184,53,337.94,6.376226
185,82,107.74,1.313902
186,27,368.02,13.630370
187,30,199.99,6.666333
188,27,199.11,7.374444
189,72,390.10,5.418056
190,47,255.71,5.440638
191,32,359.39,11.230937
192,43,394.06,9.164186
193,73,393.75,5.393836
194,96,366.30,3.815625
195,28,400.45,14.301786
196,25,229.03,9.161200
197,50,389.93,7.798600
198,99,173.88,1.756364
199,90,343.87,3.820778
200,70,404.84,5.783429
201,99,175.99,1.777677
202,1,212.40,212.400000
203,35,328.46,9.384571
204,74,145.87,1.971216
205,24,105.81,4.408750
206,63,208.19,3.304603
207,26,187.49,7.211154
208,88,268.24,3.048182
209,1,195.07,195.070000
210,63,202.51,3.214444
211,12,376.64,31.386667
212,8,390.65,48.831250
213,35,250.52,7.157714
214,12,404.31,33.692500
215,65,321.59,4.947538
216,16,118.40,7.400000
217,81,367.92,4.542222
218,94,101.01,1.074574
219,33,410.89,12.451212
220,36,268.37,7.454722
221,3,160.18,53.393333
222,28,214.61,7.664643
223,75,425.49,5.673200
224,63,202.73,3.217937
225,18,320.26,17.792222
226,68,328.27,4.827500
227,10,302.84,30.284000
228,39,118.91,3.048974
229,74,292.84,3.957297
230,63,341.37,5.418571
231,99,286.69,2.895859
232,89,103.67,1.164831
233,46,246.79,5.365000
234,74,199.38,2.694324
235,96,134.72,1.403333
236,2,211.14,105.570000
237,28,139.51,4.982500
238,34,320.15,9.416176
239,80,333.31,4.166375
240,39,254.24,6.518974
241,3,132.92,44.306667
242,84,422.71,5.032262
243,73,404.08,5.535342
244,71,292.31,4.117042
245,59,395.05,6.695763
246,58,363.04,6.259310
247,24,200.53,8.355417
248,3,176.73,58.910000
249,64,287.26,4.488437
250,80,355.59,4.444875
251,89,262.58,2.950337
252,17,120.53,7.090000
253,27,213.82,7.919259
254,40,252.61,6.315250
255,100,246.07,2.460700
256,78,325.89,4.178077
257,8,235.69,29.461250
258,51,175.19,3.435098
259,13,342.20,26.323077
