index,value
0,4045
1,32504
2,25751
3,20108
4,25510
5,283
6,20835
7,27078
8,15196
9,4874
10,4251
11,3144
12,30099
13,14446
14,30872
15,20251
16,13056
17,2996
18,1117
19,8768
20,16496
21,4102
22,11714
23,20036
24,25100
25,24442
26,13010
27,13333
28,25563
29,2441
30,19057
31,16148
32,5000
33,13762
34,3138
35,15723
36,1894
37,24255
38,4039
39,4769
40,22193
41,14681
42,1738
43,30828
44,10007
45,7192
46,22268
47,16838
48,13174
49,31469
50,30429
51,21570
52,12264
53,19236
54,4571
55,19361
56,12029
57,25492
58,14270
59,31648
60,27719
61,11545
62,6979
63,17429
64,8220
65,14148
66,9223
67,27450
68,16535
69,1360
70,22439
71,29257
72,21472
73,10072
74,24102
75,6217
76,14253
77,29640
78,9615
79,32551
80,521
81,29970
82,26843
83,9992
84,24405
85,24482
86,7700
87,13278
88,4492
89,9235
90,4027
91,12601
92,29899
93,29091
94,9576
95,18529
96,11536
97,15588
98,8112
99,7329
