n,capacity,seed,algorithm,total_weight,total_value,elapsed_ms,estimated_memory_bytes,estimated_operations,visited_nodes,status,note
1000,10000,20261801,brute_force,,,,4072,0,,skipped,skipped because brute force is O(2^n)
1000,10000,20261801,backtracking,,,,0,0,,skipped,skipped because backtracking worst-case complexity is O(2^n)
1000,10000,20261801,dynamic_programming_optimized,10000,127424.22,8.278500,1334133,10000000,0,completed,
1000,10000,20261801,greedy,9994,127384.18,0.001000,28000,0,0,completed,approximation strategy; not guaranteed to be globally optimal for 0-1 knapsack
1000,100000,20261801,brute_force,,,,4072,0,,skipped,skipped because brute force is O(2^n)
1000,100000,20261801,backtracking,,,,0,0,,skipped,skipped because backtracking worst-case complexity is O(2^n)
1000,100000,20261801,dynamic_programming_optimized,48912,267774.93,89.626900,13304133,100000000,0,completed,
1000,100000,20261801,greedy,48912,267774.93,0.002400,28000,0,0,completed,approximation strategy; not guaranteed to be globally optimal for 0-1 knapsack
1000,1000000,20261801,brute_force,,,,4072,0,,skipped,skipped because brute force is O(2^n)
1000,1000000,20261801,backtracking,,,,0,0,,skipped,skipped because backtracking worst-case complexity is O(2^n)
1000,1000000,20261801,dynamic_programming_optimized,,,,133004133,1000000000,,skipped,skipped because estimated DP operations exceed safe limit
1000,1000000,20261801,greedy,48912,267774.93,0.001600,28000,0,0,completed,approximation strategy; not guaranteed to be globally optimal for 0-1 knapsack
2000,10000,20262801,brute_force,,,,8072,0,,skipped,skipped because brute force is O(2^n)
2000,10000,20262801,backtracking,,,,0,0,,skipped,skipped because backtracking worst-case complexity is O(2^n)
2000,10000,20262801,dynamic_programming_optimized,10000,176585.21,12.471000,2588258,20000000,0,completed,
2000,10000,20262801,greedy,9992,176514.19,0.003200,56000,0,0,completed,approximation strategy; not guaranteed to be globally optimal for 0-1 knapsack
2000,100000,20262801,brute_force,,,,8072,0,,skipped,skipped because brute force is O(2^n)
2000,100000,20262801,backtracking,,,,0,0,,skipped,skipped because backtracking worst-case complexity is O(2^n)
2000,100000,20262801,dynamic_programming_optimized,100000,531881.09,187.373500,25808258,200000000,0,completed,
2000,100000,20262801,greedy,99994,531878.81,0.001400,56000,0,0,completed,approximation strategy; not guaranteed to be globally optimal for 0-1 knapsack
2000,1000000,20262801,brute_force,,,,8072,0,,skipped,skipped because brute force is O(2^n)
2000,1000000,20262801,backtracking,,,,0,0,,skipped,skipped because backtracking worst-case complexity is O(2^n)
2000,1000000,20262801,dynamic_programming_optimized,,,,258008258,2000000000,,skipped,skipped because estimated DP operations exceed safe limit
2000,1000000,20262801,greedy,100559,532500.16,0.003500,56000,0,0,completed,approximation strategy; not guaranteed to be globally optimal for 0-1 knapsack
3000,10000,20263801,brute_force,,,,12072,0,,skipped,skipped because brute force is O(2^n)
3000,10000,20263801,backtracking,,,,0,0,,skipped,skipped because backtracking worst-case complexity is O(2^n)
3000,10000,20263801,dynamic_programming_optimized,10000,215258.00,18.099200,3842383,30000000,0,completed,
3000,10000,20263801,greedy,9999,215249.57,0.003500,84000,0,0,completed,approximation strategy; not guaranteed to be globally optimal for 0-1 knapsack
3000,100000,20263801,brute_force,,,,12072,0,,skipped,skipped because brute force is O(2^n)
3000,100000,20263801,backtracking,,,,0,0,,skipped,skipped because backtracking worst-case complexity is O(2^n)
3000,100000,20263801,dynamic_programming_optimized,100000,674232.23,281.519000,38312383,300000000,0,completed,
3000,100000,20263801,greedy,100000,674232.23,0.002000,84000,0,0,completed,approximation strategy; not guaranteed to be globally optimal for 0-1 knapsack
3000,1000000,20263801,brute_force,,,,12072,0,,skipped,skipped because brute force is O(2^n)
3000,1000000,20263801,backtracking,,,,0,0,,skipped,skipped because backtracking worst-case complexity is O(2^n)
3000,1000000,20263801,dynamic_programming_optimized,,,,383012383,3000000000,,skipped,skipped because estimated DP operations exceed safe limit
3000,1000000,20263801,greedy,152960,790082.97,0.002700,84000,0,0,completed,approximation strategy; not guaranteed to be globally optimal for 0-1 knapsack
4000,10000,20264801,brute_force,,,,16072,0,,skipped,skipped because brute force is O(2^n)
4000,10000,20264801,backtracking,,,,0,0,,skipped,skipped because backtracking worst-case complexity is O(2^n)
4000,10000,20264801,dynamic_programming_optimized,10000,250525.36,22.976600,5096508,40000000,0,completed,
4000,10000,20264801,greedy,9999,250512.89,0.009600,112000,0,0,completed,approximation strategy; not guaranteed to be globally optimal for 0-1 knapsack
4000,100000,20264801,brute_force,,,,16072,0,,skipped,skipped because brute force is O(2^n)
4000,100000,20264801,backtracking,,,,0,0,,skipped,skipped because backtracking worst-case complexity is O(2^n)
4000,100000,20264801,dynamic_programming_optimized,100000,788962.55,331.501000,50816508,400000000,0,completed,
4000,100000,20264801,greedy,100000,788953.41,0.002600,112000,0,0,completed,approximation strategy; not guaranteed to be globally optimal for 0-1 knapsack
4000,1000000,20264801,brute_force,,,,16072,0,,skipped,skipped because brute force is O(2^n)
4000,1000000,20264801,backtracking,,,,0,0,,skipped,skipped because backtracking worst-case complexity is O(2^n)
4000,1000000,20264801,dynamic_programming_optimized,,,,508016508,4000000000,,skipped,skipped because estimated DP operations exceed safe limit
4000,1000000,20264801,greedy,203413,1061302.16,0.007600,112000,0,0,completed,approximation strategy; not guaranteed to be globally optimal for 0-1 knapsack
5000,10000,20265801,brute_force,,,,20072,0,,skipped,skipped because brute force is O(2^n)
