"n","capacity","algorithm","selected_count","calculated_weight","reported_weight","calculated_value","reported_value","duplicate_item_count","within_capacity","status","note"
"1000","10000","dynamic_programming_optimized","428","10000","10000","127424.22","127424.22","0","True","PASS",""
"1000","10000","greedy","429","9994","9994","127384.18","127384.18","0","True","PASS",""
"1000","100000","dynamic_programming_optimized","1000","48912","48912","267774.93","267774.93","0","True","PASS",""
"1000","100000","greedy","1000","48912","48912","267774.93","267774.93","0","True","PASS",""
"1000","1000000","greedy","1000","48912","48912","267774.93","267774.93","0","True","PASS",""
"2000","10000","dynamic_programming_optimized","593","10000","10000","176585.21","176585.21","0","True","PASS",""
"2000","10000","greedy","593","9992","9992","176514.19","176514.19","0","True","PASS",""
"2000","100000","dynamic_programming_optimized","1994","100000","100000","531881.09","531881.09","0","True","PASS",""
"2000","100000","greedy","1994","99994","99994","531878.81","531878.81","0","True","PASS",""
"2000","1000000","greedy","2000","100559","100559","532500.16","532500.16","0","True","PASS",""
"3000","10000","dynamic_programming_optimized","732","10000","10000","215258","215258","0","True","PASS",""
"3000","10000","greedy","732","9999","9999","215249.57","215249.57","0","True","PASS",""
"3000","100000","dynamic_programming_optimized","2327","100000","100000","674232.23","674232.23","0","True","PASS",""
"3000","100000","greedy","2327","100000","100000","674232.23","674232.23","0","True","PASS",""
"3000","1000000","greedy","3000","152960","152960","790082.97","790082.97","0","True","PASS",""
"4000","10000","dynamic_programming_optimized","835","10000","10000","250525.36","250525.36","0","True","PASS",""
"4000","10000","greedy","837","9999","9999","250512.89","250512.89","0","True","PASS",""
"4000","100000","dynamic_programming_optimized","2626","100000","100000","788962.55","788962.55","0","True","PASS",""
"4000","100000","greedy","2626","100000","100000","788953.41","788953.41","0","True","PASS",""
"4000","1000000","greedy","4000","203413","203413","1061302.16","1061302.16","0","True","PASS",""
"5000","10000","dynamic_programming_optimized","912","10000","10000","269219.66","269219.66","0","True","PASS",""
"5000","10000","greedy","912","9997","9997","269178.64","269178.64","0","True","PASS",""
"5000","100000","dynamic_programming_optimized","2944","100000","100000","879722.96","879722.96","0","True","PASS",""
"5000","100000","greedy","2945","99997","99997","879708.95","879708.95","0","True","PASS",""
"5000","1000000","greedy","5000","253055","253055","1314460.57","1314460.57","0","True","PASS",""
"6000","10000","dynamic_programming_optimized","1021","10000","10000","306185.51","306185.51","0","True","PASS",""
"6000","10000","greedy","1021","9995","9995","306109.26","306109.26","0","True","PASS",""
"6000","100000","greedy","3263","100000","100000","974922.6","974922.6","0","True","PASS",""
"6000","1000000","greedy","6000","299279","299279","1585633.53","1585633.53","0","True","PASS",""
"7000","10000","dynamic_programming_optimized","1074","10000","10000","324314.68","324314.68","0","True","PASS",""
"7000","10000","greedy","1075","9994","9994","324215.09","324215.09","0","True","PASS",""
"7000","100000","greedy","3465","99981","99981","1037907.38","1037907.38","0","True","PASS",""
"7000","1000000","greedy","7000","354378","354378","1850857.39","1850857.39","0","True","PASS",""
"8000","10000","dynamic_programming_optimized","1152","10000","10000","342441.75","342441.75","0","True","PASS",""
"8000","10000","greedy","1153","10000","10000","342439.77","342439.77","0","True","PASS",""
"8000","100000","greedy","3715","99986","99986","1106436.66","1106436.66","0","True","PASS",""
"8000","1000000","greedy","8000","403716","403716","2111973.76","2111973.76","0","True","PASS",""
"9000","10000","dynamic_programming_optimized","1230","10000","10000","367121.03","367121.03","0","True","PASS",""
"9000","10000","greedy","1230","9999","9999","367102.85","367102.85","0","True","PASS",""
"9000","100000","greedy","3963","99994","99994","1188889.94","1188889.94","0","True","PASS",""
"9000","1000000","greedy","9000","453800","453800","2372691.21","2372691.21","0","True","PASS",""
"10000","10000","dynamic_programming_optimized","1244","10000","10000","370976.86","370976.86","0","True","PASS",""
"10000","10000","greedy","1244","9999","9999","370955.93","370955.93","0","True","PASS",""
"10000","100000","greedy","4116","99985","99985","1221940.74","1221940.74","0","True","PASS",""
"10000","1000000","greedy","10000","506082","506082","2629073.28","2629073.28","0","True","PASS",""
"20000","10000","dynamic_programming_optimized","1800","10000","10000","542791.46","542791.46","0","True","PASS",""
"20000","10000","greedy","1801","9999","9999","542762.17","542762.17","0","True","PASS",""
"20000","100000","greedy","5897","99998","99998","1767333.43","1767333.43","0","True","PASS",""
"20000","1000000","greedy","20000","999430","999430","5292818.6","5292818.6","0","True","PASS",""
"40000","10000","dynamic_programming_optimized","2500","10000","10000","750080.96","750080.96","0","True","PASS",""
"40000","10000","greedy","2500","10000","10000","750080.96","750080.96","0","True","PASS",""
"40000","100000","greedy","8270","99993","99993","2468798.95","2468798.95","0","True","PASS",""
"40000","1000000","greedy","26573","999979","999979","7893594.51","7893594.51","0","True","PASS",""
"80000","10000","greedy","3371","10000","10000","1016942.88","1016942.88","0","True","PASS",""
"80000","100000","greedy","11429","99998","99998","3429377.56","3429377.56","0","True","PASS",""
"80000","1000000","greedy","37205","999999","999999","11088678.11","11088678.11","0","True","PASS",""
"160000","10000","greedy","4573","10000","10000","1378160.97","1378160.97","0","True","PASS",""
"160000","100000","greedy","16054","100000","100000","4793848.72","4793848.72","0","True","PASS",""
"160000","1000000","greedy","52427","1000000","1000000","15643142.61","15643142.61","0","True","PASS",""
"320000","10000","greedy","6076","10000","10000","1844758.18","1844758.18","0","True","PASS",""
"320000","100000","greedy","22148","99999","99999","6629029.75","6629029.75","0","True","PASS",""
"320000","1000000","greedy","73472","999994","999994","21947123.03","21947123.03","0","True","PASS",""
