algorithm,n,total_calls,max_depth,min_subproblem_size,max_subproblem_size
merge_sort,10,19,4,1,10
quick_sort,10,10,6,1,10
merge_sort,100,199,7,1,100
quick_sort,100,100,11,1,100
merge_sort,1000,1999,10,1,1000
quick_sort,1000,1000,20,1,1000
merge_sort,2000,3999,11,1,2000
quick_sort,2000,2000,23,1,2000
merge_sort,5000,9999,13,1,5000
quick_sort,5000,5000,26,1,5000
merge_sort,10000,19999,14,1,10000
quick_sort,10000,10000,34,1,10000
merge_sort,100000,199999,17,1,100000
quick_sort,100000,100000,43,1,100000
