n,seed,algorithm,comparisons,elapsed_ms,sorted_correctly,status,note
10,20260620,bubble_sort,45,0.0001,yes,completed,
10,20260620,merge_sort,23,0.0008,yes,completed,
10,20260620,quick_sort,31,0.0014,yes,completed,
100,20260710,bubble_sort,4914,0.0058,yes,completed,
100,20260710,merge_sort,536,0.0079,yes,completed,
100,20260710,quick_sort,627,0.0012,yes,completed,
1000,20261610,bubble_sort,498680,0.7164,yes,completed,
1000,20261610,merge_sort,8714,0.1797,yes,completed,
1000,20261610,quick_sort,11187,0.0524,yes,completed,
2000,20262610,bubble_sort,1995679,1.9782,yes,completed,
2000,20262610,merge_sort,19427,0.1923,yes,completed,
2000,20262610,quick_sort,24836,0.0594,yes,completed,
5000,20265610,bubble_sort,12474709,10.6815,yes,completed,
5000,20265610,merge_sort,55143,0.5011,yes,completed,
5000,20265610,quick_sort,69977,0.1772,yes,completed,
10000,20270610,bubble_sort,49990050,60.6218,yes,completed,
10000,20270610,merge_sort,120421,1.1211,yes,completed,
10000,20270610,quick_sort,152637,0.3913,yes,completed,
100000,20360610,bubble_sort,,,N/A,skipped,skipped because bubble sort is O(n^2)
100000,20360610,merge_sort,1536301,13.1615,yes,completed,
100000,20360610,quick_sort,2030019,4.8104,yes,completed,
